,Ticker,Stock Price,Market Cap,Number of shares to buy
0,A,144.22,42543822346,137
1,AAL,14.39,9558828477,1414
2,AAP,186.47,11066981716,106
3,AAPL,163.08,2540687415893,121
4,ABBV,142.52,255823227652,139
5,ABC,152.29,30607717713,130
6,ABMD,295.87,13426055664,67
7,ABT,113.38,191185778625,175
8,ACN,304.86,193329237603,65
9,ADBE,397.59,191964845320,49
10,ADI,161.55,81432636540,122
11,ADM,93.42,53106616864,212
12,ADP,250.9,104650613363,79
13,ADSK,212.56,46624224395,93
14,AEE,96.89,25659759524,206
15,AEP,107.51,55671638168,185
16,AES,27.56,19066482984,733
17,AFL,62.06,40741338321,319
18,AIG,57.14,42380353161,347
19,AIV,9.48,1411640357,2200
20,AIZ,166.1,8732148111,119
21,AJG,192.37,40386444772,103
22,AKAM,94.85,14735791618,210
23,ALB,310.76,36532007269,63
24,ALGN,269.8,21447681331,73
25,ALK,48.24,6024358702,412
26,ALL,126.98,35884068939,157
27,ALLE,101.63,8914059316,196
28,ALXN,189.1,41274446051,104
29,AMAT,100,83077330707,198
30,AMCR,12.8,18508790035,1650
31,AMD,89.22,143386160768,222
32,AME,129.19,29569897517,153
33,AMGN,250.16,133099456566,79
34,AMP,293.6,31418225574,67
35,AMT,267.47,123752487089,74
36,AMZN,139.03,1419337252974,142
37,ANET,129.33,38866028143,153
38,ANSS,266.1,23453514402,74
39,ANTM,496.35,121233370150,39
40,AON,299.93,63697718581,66
41,AOS,56.75,7483150695,353
42,APA,39.37,12508920145,507
43,APD,261.37,58213467805,75
44,APH,79.2,46493634242,250
45,APTV,97.29,26461768953,204
46,ARE,166.72,27200371739,119
47,ATO,122.45,16805111435,162
48,ATVI,81.77,64130516896,244
49,AVB,217.24,30888025990,91
50,AVGO,522.8,212577599020,37
51,AVY,198.26,16136986468,100
52,AWK,157.3,29544330651,126
53,AXP,162.56,122495027172,122
54,AZO,2295.61,43374287338,8
55,BA,162.84,96591018224,122
56,BAC,35.08,288971228071,565
57,BAX,60.15,31266582080,330
